default_alias,official_name,model_size_info,model_type,cfg_model_name,n_params_str,n_params,n_layers,n_heads,d_model,d_vocab,act_fn,positional_embedding_type,parallel_attn_mlp,original_architecture
gelu-2l,NeelNanda/GELU_2L512W_C4_Code,,gelu,GELU_2L512W_C4_Code,6.3M,6291456,2,8,512,48262,gelu,standard,False,neel
gelu-3l,NeelNanda/GELU_3L512W_C4_Code,,gelu,GELU_3L512W_C4_Code,9.4M,9437184,3,8,512,48262,gelu,standard,False,neel
gelu-4l,NeelNanda/GELU_4L512W_C4_Code,,gelu,GELU_4L512W_C4_Code,13M,12582912,4,8,512,48262,gelu,standard,False,neel
attn-only-1l,NeelNanda/Attn_Only_1L512W_C4_Code,,attn-only,Attn_Only_1L512W_C4_Code,1.0M,1048576,1,8,512,48262,solu_ln,standard,False,neel
attn-only-2l,NeelNanda/Attn_Only_2L512W_C4_Code,,attn-only,Attn_Only_2L512W_C4_Code,2.1M,2097152,2,8,512,48262,solu_ln,standard,False,neel
attn-only-3l,NeelNanda/Attn_Only_3L512W_C4_Code,,attn-only,Attn_Only_3L512W_C4_Code,3.1M,3145728,3,8,512,48262,solu_ln,standard,False,neel
attn-only-4l,NeelNanda/Attn_Only_4L512W_C4_Code,,attn-only,Attn_Only_4L512W_C4_Code,4.2M,4194304,4,8,512,48262,solu_ln,standard,False,neel
attn-only-2l-demo,NeelNanda/Attn-Only-2L512W-Shortformer-6B-big-lr,,attn-only,Attn-Only-2L512W-Shortformer-6B-big-lr,2.1M,2097152,2,8,512,50277,solu_ln,shortformer,False,neel
solu-1l-wiki,NeelNanda/SoLU_1L512W_Wiki_Finetune,,solu,SoLU_1L512W_Wiki_Finetune,3.1M,3145728,1,8,512,48262,solu_ln,standard,False,neel
solu-4l-wiki,NeelNanda/SoLU_4L512W_Wiki_Finetune,,solu,SoLU_4L512W_Wiki_Finetune,13M,12582912,4,8,512,48262,solu_ln,standard,False,neel
redwood_attn_2l,ArthurConmy/redwood_attn_2l,,redwood_attn,redwood_attn_2l,524K,524288,2,8,256,50259,gelu_new,shortformer,False,neel
llama-7b,llama-7b-hf,7b,llama,llama-7b-hf,5.0B,5033164800,32,32,4096,32000,silu,rotary,False,LlamaForCausalLM
llama-13b,llama-13b-hf,13b,llama,llama-13b-hf,9.9B,9856614400,40,40,5120,32000,silu,rotary,False,LlamaForCausalLM
llama-30b,llama-30b-hf,30b,llama,llama-30b-hf,25B,24945623040,60,52,6656,32000,silu,rotary,False,LlamaForCausalLM
llama-65b,llama-65b-hf,65b,llama,llama-65b-hf,50B,50331648000,80,64,8192,32000,silu,rotary,False,LlamaForCausalLM
